SUSPECT,speak,speaked,spoke
PAST,say,said,said
PAST,say,said,said
PAST,say,said,said
PAST,say,said,said
PAST,break,broke,broke
PAST,break,broke,broke
PAST,see,saw,saw
PAST,see,saw,saw
PAST,see,saw,saw
PAST,break,broke,broke
PAST,make,made,made
PAST,break,broke,broke
PAST,tell,told,told
PAST,think,thought,thought
PAST,make,made,made
PAST,say,said,said
PAST,see,saw,saw
PAST,say,said,said
PAST,see,saw,saw
PAST,make,made,made
PAST,make,made,made
PAST,find,found,found
PAST,say,said,said
