TENSE,ROOT,FORM,NAME_AND_AUTHOR,AGE,GENDER,AUTHOR,PATH,REALPAST,FREQUENCY
PAST,make,made,abekuczaj,2.84154688569473,male,kuczaj,"scripts,Kuczaj,abe044.cha.txt",made,28626
PAST,find,found,abekuczaj,2.84154688569473,male,kuczaj,"scripts,Kuczaj,abe044.cha.txt",found,20196
PAST,say,said,abekuczaj,2.84154688569473,male,kuczaj,"scripts,Kuczaj,abe044.cha.txt",said,56531
PAST,say,said,abekuczaj,2.84154688569473,male,kuczaj,"scripts,Kuczaj,abe044.cha.txt",said,56531
PAST,see,saw,abekuczaj,2.84154688569473,male,kuczaj,"scripts,Kuczaj,abe044.cha.txt",saw,20527
PAST,say,said,abekuczaj,2.84154688569473,male,kuczaj,"scripts,Kuczaj,abe044.cha.txt",said,56531
PAST,say,said,abekuczaj,2.84154688569473,male,kuczaj,"scripts,Kuczaj,abe044.cha.txt",said,56531
SUSPECT,take,tooked,abekuczaj,2.84154688569473,male,kuczaj,"scripts,Kuczaj,abe044.cha.txt",took,17454
PAST,take,took,abekuczaj,2.84154688569473,male,kuczaj,"scripts,Kuczaj,abe044.cha.txt",took,17454
SUSPECT,take,tooked,abekuczaj,2.84154688569473,male,kuczaj,"scripts,Kuczaj,abe044.cha.txt",took,17454
PAST,take,took,abekuczaj,2.84154688569473,male,kuczaj,"scripts,Kuczaj,abe044.cha.txt",took,17454
PAST,eat,ate,abekuczaj,2.84154688569473,male,kuczaj,"scripts,Kuczaj,abe044.cha.txt",ate,1722
PAST,make,made,abekuczaj,2.84154688569473,male,kuczaj,"scripts,Kuczaj,abe044.cha.txt",made,28626
PAST,make,made,abekuczaj,2.84154688569473,male,kuczaj,"scripts,Kuczaj,abe044.cha.txt",made,28626
SUSPECT,hold,holded,abekuczaj,2.84976043805613,male,kuczaj,"scripts,Kuczaj,abe045.cha.txt",held,2165
PAST,make,made,abekuczaj,2.84976043805613,male,kuczaj,"scripts,Kuczaj,abe045.cha.txt",made,28626
PAST,say,said,abekuczaj,2.84976043805613,male,kuczaj,"scripts,Kuczaj,abe045.cha.txt",said,56531
PAST,say,said,abekuczaj,2.84976043805613,male,kuczaj,"scripts,Kuczaj,abe045.cha.txt",said,56531
PAST,say,said,abekuczaj,2.85249828884326,male,kuczaj,"scripts,Kuczaj,abe046.cha.txt",said,56531
SUSPECT,swing,swinged,abekuczaj,2.85249828884326,male,kuczaj,"scripts,Kuczaj,abe046.cha.txt",swung,117
SUSPECT,swing,swinged,abekuczaj,2.85249828884326,male,kuczaj,"scripts,Kuczaj,abe046.cha.txt",swung,117
SUSPECT,swing,swinged,abekuczaj,2.85249828884326,male,kuczaj,"scripts,Kuczaj,abe046.cha.txt",swung,117
SUSPECT,fall,falled,abekuczaj,2.85249828884326,male,kuczaj,"scripts,Kuczaj,abe046.cha.txt",fell,3723
PAST,say,said,abekuczaj,2.85249828884326,male,kuczaj,"scripts,Kuczaj,abe046.cha.txt",said,56531
PAST,eat,ate,abekuczaj,2.85249828884326,male,kuczaj,"scripts,Kuczaj,abe046.cha.txt",ate,1722
PAST,say,said,abekuczaj,2.86618754277892,male,kuczaj,"scripts,Kuczaj,abe047.cha.txt",said,56531
PAST,say,said,abekuczaj,2.86618754277892,male,kuczaj,"scripts,Kuczaj,abe047.cha.txt",said,56531
PAST,see,saw,abekuczaj,2.86618754277892,male,kuczaj,"scripts,Kuczaj,abe047.cha.txt",saw,20527
SUSPECT,make,maked,abekuczaj,2.86618754277892,male,kuczaj,"scripts,Kuczaj,abe047.cha.txt",made,28626
PAST,make,made,abekuczaj,2.86618754277892,male,kuczaj,"scripts,Kuczaj,abe047.cha.txt",made,28626
PAST,see,saw,abekuczaj,2.86618754277892,male,kuczaj,"scripts,Kuczaj,abe047.cha.txt",saw,20527
PAST,see,saw,abekuczaj,2.86618754277892,male,kuczaj,"scripts,Kuczaj,abe047.cha.txt",saw,20527
PAST,make,made,abekuczaj,2.86618754277892,male,kuczaj,"scripts,Kuczaj,abe047.cha.txt",made,28626
SUSPECT,blow,blowed,abekuczaj,2.86618754277892,male,kuczaj,"scripts,Kuczaj,abe047.cha.txt",blew,1610
SUSPECT,fall,falled,abekuczaj,2.87440109514031,male,kuczaj,"scripts,Kuczaj,abe048.cha.txt",fell,3723
SUSPECT,fall,falled,abekuczaj,2.87440109514031,male,kuczaj,"scripts,Kuczaj,abe048.cha.txt",fell,3723
SUSPECT,fall,falled,abekuczaj,2.87440109514031,male,kuczaj,"scripts,Kuczaj,abe048.cha.txt",fell,3723
SUSPECT,fall,falled,abekuczaj,2.87440109514031,male,kuczaj,"scripts,Kuczaj,abe048.cha.txt",fell,3723
SUSPECT,fall,falled,abekuczaj,2.87440109514031,male,kuczaj,"scripts,Kuczaj,abe048.cha.txt",fell,3723
PAST,make,made,abekuczaj,2.87440109514031,male,kuczaj,"scripts,Kuczaj,abe048.cha.txt",made,28626
PAST,fall,fell,abekuczaj,2.87440109514031,male,kuczaj,"scripts,Kuczaj,abe048.cha.txt",fell,3723
SUSPECT,fall,falled,abekuczaj,2.88809034907598,male,kuczaj,"scripts,Kuczaj,abe049.cha.txt",fell,3723
