PAST,talk,talked,talked
PAST,tip,tipped,tipped
PAST,tip,tipped,tipped
PAST,tip,tipped,tipped
PAST,happen,happened,happened
PAST,miss,missed,missed
PAST,miss,missed,missed
PAST,smack,smacked,smacked
PAST,smack,smacked,smacked
PAST,finish,finished,finished
PAST,finish,finished,finished
PAST,call,called,called
PAST,want,wanted,wanted
PAST,knock,knocked,knocked
PAST,tip,tipped,tipped
PAST,drop,dropped,dropped
PAST,drop,dropped,dropped
PAST,hop,hopped,hopped
PAST,hop,hopped,hopped
PAST,hop,hopped,hopped
PAST,hop,hopped,hopped
PAST,hop,hopped,hopped
PAST,hop,hopped,hopped
PAST,hop,hopped,hopped
PAST,stop,stopped,stopped
PAST,hop,hopped,hopped
PAST,hop,hopped,hopped
PAST,hop,hopped,hopped
PAST,miss,missed,missed
PAST,turn,turned,turned
PAST,call,called,called
PAST,call,called,called
PAST,hop,hopped,hopped
PAST,hop,hopped,hopped
PAST,walk,walked,walked
PAST,turn,turned,turned
PAST,hop,hopped,hopped
