PAST,button,buttoned,buttoned
PAST,call,called,called
PAST,step,stepped,stepped
PAST,shave,shaved,shaved
PAST,save,saved,saved
PAST,shave,shaved,shaved
PAST,shave,shaved,shaved
PAST,call,called,called
PAST,shave,shaved,shaved
PAST,happen,happened,happened
PAST,follow,followed,followed
PAST,finish,finished,finished
PAST,scare,scared,scared
PAST,pick,picked,picked
PAST,close,closed,closed
PAST,lock,locked,locked
PAST,look,looked,looked
PAST,walk,walked,walked
PAST,walk,walked,walked
PAST,call,called,called
PAST,wave,waved,waved
PAST,stop,stopped,stopped
PAST,chase,chased,chased
PAST,chase,chased,chased
PAST,chase,chased,chased
PAST,brick,bricked,bricked
PAST,happen,happened,happened
PAST,touch,touched,touched
PAST,happen,happened,happened
PAST,squirt,squirted,squirted
PAST,pull,pulled,pulled
PAST,jump,jumped,jumped
PAST,look,looked,looked
PAST,look,looked,looked
PAST,finish,finished,finished
PAST,web,webbed,webbed
PAST,mess,messed,messed
PAST,step,stepped,stepped
PAST,skip,skipped,skipped
PAST,jump,jumped,jumped
PAST,knock,knocked,knocked
PAST,pick,picked,picked
PAST,pick,picked,picked
PAST,wish,wished,wished
PAST,jump,jumped,jumped
PAST,pick,picked,picked
PAST,pick,picked,picked
PAST,pick,picked,picked
PAST,paper,papered,papered
PAST,shave,shaved,shaved
PAST,unscrew,unscrewed,unscrewed
PAST,turn,turned,turned
PAST,unscrew,unscrewed,unscrewed
PAST,unscrew,unscrewed,unscrewed
PAST,unscrew,unscrewed,unscrewed
PAST,smack,smacked,smacked
PAST,scare,scared,scared
PAST,stop,stopped,stopped
PAST,play,played,played
PAST,step,stepped,stepped
PAST,step,stepped,stepped
PAST,pick,picked,picked
PAST,jump,jumped,jumped
PAST,step,stepped,stepped
PAST,start,started,started
PAST,start,started,started
PAST,finish,finished,finished
PAST,drop,dropped,dropped
PAST,tire,tired,tired
PAST,call,called,called
PAST,skip,skipped,skipped
PAST,wrap,wrapped,wrapped
PAST,fold,folded,folded
PAST,scare,scared,scared
PAST,want,wanted,wanted
PAST,want,wanted,wanted
PAST,want,wanted,wanted
PAST,want,wanted,wanted
PAST,want,wanted,wanted
PAST,want,wanted,wanted
