PAST,cover,covered,covered
SUSPECT,plug,plugged,pluged
SUSPECT,plug,plugged,pluged
PAST,lock,locked,locked
PAST,lock,locked,locked
PAST,want,wanted,wanted
PAST,drop,dropped,dropped
PAST,want,wanted,wanted
PAST,use,used,used
PAST,use,used,used
PAST,drop,dropped,dropped
PAST,finish,finished,finished
PAST,finish,finished,finished
PAST,ask,asked,asked
PAST,tire,tired,tired
PAST,finish,finished,finished
PAST,want,wanted,wanted
PAST,stop,stopped,stopped
PAST,name,named,named
PAST,pull,pulled,pulled
PAST,pick,picked,picked
PAST,attach,attached,attached
PAST,attach,attached,attached
PAST,lock,locked,locked
PAST,lock,locked,locked
PAST,lock,locked,locked
PAST,use,used,used
PAST,sign,signed,signed
PAST,use,used,used
PAST,fool,fooled,fooled
PAST,drop,dropped,dropped
PAST,jump,jumped,jumped
PAST,jump,jumped,jumped
PAST,tie,tied,tied
PAST,turn,turned,turned
PAST,want,wanted,wanted
PAST,happen,happened,happened
PAST,happen,happened,happened
PAST,happen,happened,happened
PAST,turn,turned,turned
PAST,watch,watched,watched
PAST,tire,tired,tired
PAST,tire,tired,tired
PAST,tire,tired,tired
PAST,want,wanted,wanted
PAST,skate,skated,skated
PAST,use,used,used
PAST,use,used,used
PAST,belch,belched,belched
PAST,call,called,called
PAST,die,died,died
PAST,die,died,died
PAST,want,wanted,wanted
PAST,look,looked,looked
PAST,die,died,died
SUSPECT,plug,plugged,pluged
PAST,finish,finished,finished
PAST,finish,finished,finished
