SUSPECT,wake,waked,woke
PAST,eat,ate,ate
PAST,eat,ate,ate
PAST,eat,ate,ate
PAST,eat,ate,ate
PAST,eat,ate,ate
PAST,say,said,said
PAST,forget,forgot,forgot
PAST,say,said,said
PAST,see,saw,saw
PAST,say,said,said
PAST,take,took,took
PAST,take,took,took
PAST,say,said,said
PAST,say,said,said
PAST,say,said,said
PAST,say,said,said
PAST,say,said,said
PAST,say,said,said
PAST,say,said,said
PAST,say,said,said
PAST,say,said,said
PAST,say,said,said
PAST,say,said,said
PAST,say,said,said
PAST,say,said,said
PAST,say,said,said
PAST,say,said,said
PAST,say,said,said
PAST,say,said,said
PAST,say,said,said
SUSPECT,buy,buyed,bought
PAST,say,said,said
PAST,say,said,said
