PAST,forget,forgot,forgot
PAST,steal,stolen,stolen
PAST,know,knew,knew
PAST,stick,stuck,stuck
PAST,stick,stuck,stuck
PAST,give,gave,gave
PAST,say,said,said
PAST,say,said,said
PAST,say,said,said
PAST,say,said,said
PAST,say,said,said
PAST,say,said,said
PAST,mean,meant,meant
PAST,give,gave,gave
PAST,throw,threw,threw
PAST,sit,sat,sat
PAST,think,thought,thought
PAST,take,took,took
PAST,drive,drove,drove
PAST,say,said,said
PAST,say,said,said
PAST,say,said,said
PAST,say,said,said
PAST,say,said,said
PAST,say,said,said
PAST,say,said,said
PAST,say,said,said
PAST,see,saw,saw
PAST,say,said,said
PAST,shoot,shot,shot
PAST,make,made,made
PAST,say,said,said
PAST,say,said,said
PAST,take,took,took
PAST,say,said,said
PAST,say,said,said
PAST,say,said,said
PAST,say,said,said
PAST,say,said,said
PAST,say,said,said
PAST,say,said,said
PAST,eat,ate,ate
PAST,eat,ate,ate
PAST,tell,told,told
PAST,see,seen,seen
