SUSPECT,feel,feeled,felt
PAST,say,said,said
PAST,say,said,said
PAST,say,said,said
PAST,say,said,said
PAST,make,made,made
PAST,drive,drove,drove
PAST,give,gave,gave
PAST,grow,grew,grew
PAST,say,said,said
PAST,say,said,said
PAST,say,said,said
PAST,say,said,said
PAST,say,said,said
PAST,say,said,said
PAST,know,knew,knew
PAST,say,said,said
PAST,say,said,said
PAST,say,said,said
PAST,say,said,said
PAST,say,said,said
PAST,say,said,said
PAST,say,said,said
PAST,hear,heard,heard
PAST,say,said,said
PAST,say,said,said
PAST,say,said,said
PAST,break,broke,broke
PAST,break,broke,broke
PAST,give,gave,gave
PAST,say,said,said
PAST,mean,meant,meant
PAST,forget,forgot,forgot
