PAST,wake,woke,woke
PAST,say,said,said
PAST,sell,sold,sold
PAST,bring,brought,brought
PAST,forget,forgot,forgot
PAST,forget,forgot,forgot
PAST,write,wrote,wrote
PAST,find,found,found
PAST,make,made,made
PAST,say,said,said
PAST,say,said,said
PAST,feel,felt,felt
PAST,say,said,said
PAST,forget,forgot,forgot
PAST,say,said,said
PAST,see,seen,seen
PAST,forget,forgot,forgot
PAST,find,found,found
PAST,find,found,found
PAST,find,found,found
PAST,make,made,made
PAST,say,said,said
PAST,find,found,found
