SUSPECT,draw,drawed,drew
PAST,make,made,made
PAST,make,made,made
PAST,wind,wound,wound
PAST,make,made,made
PAST,make,made,made
PAST,make,made,made
PAST,say,said,said
PAST,find,found,found
PAST,find,found,found
PAST,find,found,found
PAST,find,found,found
PAST,find,found,found
PAST,find,found,found
PAST,find,found,found
PAST,find,found,found
PAST,find,found,found
PAST,find,found,found
PAST,find,found,found
PAST,find,found,found
PAST,find,found,found
PAST,find,found,found
PAST,find,found,found
