PAST,use,used,used
PAST,move,moved,moved
PAST,move,moved,moved
PAST,finish,finished,finished
PAST,lock,locked,locked
PAST,finish,finished,finished
PAST,finish,finished,finished
PAST,chop,chopped,chopped
PAST,chop,chopped,chopped
PAST,chop,chopped,chopped
PAST,happen,happened,happened
PAST,finish,finished,finished
PAST,pose,posed,posed
PAST,step,stepped,stepped
PAST,cook,cooked,cooked
PAST,cook,cooked,cooked
PAST,scratch,scratched,scratched
PAST,step,stepped,stepped
PAST,step,stepped,stepped
PAST,pose,posed,posed
PAST,jump,jumped,jumped
PAST,knock,knocked,knocked
PAST,knock,knocked,knocked
PAST,knock,knocked,knocked
PAST,knock,knocked,knocked
