PAST,happen,happened,happened
PAST,cover,covered,covered
PAST,finish,finished,finished
PAST,state,stated,stated
PAST,fix,fixed,fixed
PAST,finish,finished,finished
PAST,frighten,frightened,frightened
PAST,stay,stayed,stayed
PAST,finish,finished,finished
PAST,use,used,used
PAST,finish,finished,finished
PAST,finish,finished,finished
PAST,finish,finished,finished
PAST,knock,knocked,knocked
PAST,finish,finished,finished
PAST,move,moved,moved
PAST,move,moved,moved
PAST,move,moved,moved
PAST,finish,finished,finished
PAST,pose,posed,posed
PAST,finish,finished,finished
PAST,finish,finished,finished
PAST,stripe,striped,striped
