PAST,play,played,played
PAST,call,called,called
PAST,call,called,called
PAST,knock,knocked,knocked
PAST,open,opened,opened
PAST,scare,scared,scared
PAST,call,called,called
PAST,tie,tied,tied
PAST,call,called,called
PAST,call,called,called
PAST,call,called,called
PAST,call,called,called
PAST,call,called,called
PAST,call,called,called
PAST,call,called,called
PAST,call,called,called
PAST,call,called,called
PAST,call,called,called
PAST,call,called,called
PAST,call,called,called
PAST,call,called,called
PAST,call,called,called
PAST,call,called,called
PAST,call,called,called
PAST,call,called,called
PAST,call,called,called
PAST,scare,scared,scared
PAST,call,called,called
PAST,call,called,called
PAST,call,called,called
PAST,miss,missed,missed
PAST,call,called,called
PAST,scare,scared,scared
