SUSPECT,speak,speaked,spoke
PAST,speak,spoken,spoken
PAST,stick,stuck,stuck
PAST,say,said,said
PAST,say,said,said
PAST,say,said,said
PAST,say,said,said
PAST,break,broke,broke
PAST,break,broke,broke
PAST,see,saw,saw
PAST,see,saw,saw
PAST,see,saw,saw
PAST,make,made,made
PAST,think,thought,thought
PAST,make,made,made
PAST,say,said,said
PAST,see,seen,seen
PAST,see,saw,saw
PAST,say,said,said
PAST,eat,eaten,eaten
PAST,see,seen,seen
PAST,see,saw,saw
PAST,make,made,made
PAST,make,made,made
PAST,find,found,found
PAST,say,said,said
