PAST,warm,warmed,warmed
PAST,call,called,called
PAST,call,called,called
PAST,fix,fixed,fixed
PAST,land,landed,landed
PAST,crush,crushed,crushed
PAST,die,died,died
PAST,jump,jumped,jumped
PAST,call,called,called
PAST,call,called,called
PAST,call,called,called
PAST,finish,finished,finished
PAST,want,wanted,wanted
PAST,finish,finished,finished
PAST,call,called,called
PAST,call,called,called
PAST,call,called,called
PAST,push,pushed,pushed
PAST,call,called,called
PAST,call,called,called
