PAST,scare,scared,scared
PAST,pose,posed,posed
PAST,mix,mixed,mixed
PAST,pose,posed,posed
PAST,miss,missed,missed
PAST,mix,mixed,mixed
PAST,pose,posed,posed
PAST,swallow,swallowed,swallowed
PAST,swallow,swallowed,swallowed
PAST,full,fulled,fulled
PAST,fill,filled,filled
PAST,miss,missed,missed
PAST,finish,finished,finished
PAST,miss,missed,missed
PAST,kill,killed,killed
PAST,finish,finished,finished
PAST,finish,finished,finished
PAST,use,used,used
PAST,want,wanted,wanted
PAST,finish,finished,finished
PAST,finish,finished,finished
PAST,finish,finished,finished
PAST,jump,jumped,jumped
PAST,kill,killed,killed
