PAST,cross,crossed,crossed
PAST,chase,chased,chased
PAST,bump,bumped,bumped
PAST,jump,jumped,jumped
PAST,miss,missed,missed
PAST,miss,missed,missed
PAST,miss,missed,missed
PAST,crash,crashed,crashed
PAST,miss,missed,missed
PAST,miss,missed,missed
PAST,miss,missed,missed
PAST,pull,pulled,pulled
PAST,pass,passed,passed
PAST,pass,passed,passed
PAST,crash,crashed,crashed
PAST,drop,dropped,dropped
PAST,drop,dropped,dropped
PAST,drop,dropped,dropped
PAST,drop,dropped,dropped
PAST,drop,dropped,dropped
PAST,drop,dropped,dropped
PAST,push,pushed,pushed
PAST,push,pushed,pushed
PAST,smash,smashed,smashed
PAST,smash,smashed,smashed
PAST,smash,smashed,smashed
PAST,drop,dropped,dropped
PAST,crash,crashed,crashed
