PAST,mend,mended,mended
PAST,fix,fixed,fixed
PAST,fix,fixed,fixed
PAST,finish,finished,finished
PAST,finish,finished,finished
PAST,open,opened,opened
PAST,finish,finished,finished
PAST,climb,climbed,climbed
PAST,pack,packed,packed
PAST,tuck,tucked,tucked
PAST,finish,finished,finished
PAST,call,called,called
PAST,finish,finished,finished
PAST,finish,finished,finished
PAST,fix,fixed,fixed
PAST,pump,pumped,pumped
PAST,happen,happened,happened
PAST,finish,finished,finished
PAST,finish,finished,finished
PAST,use,used,used
PAST,want,wanted,wanted
PAST,want,wanted,wanted
PAST,finish,finished,finished
PAST,finish,finished,finished
PAST,finish,finished,finished
PAST,finish,finished,finished
PAST,finish,finished,finished
