PAST,tie,tied,tied
PAST,close,closed,closed
PAST,open,opened,opened
PAST,turn,turned,turned
PAST,turn,turned,turned
PAST,turn,turned,turned
PAST,turn,turned,turned
PAST,turn,turned,turned
PAST,stroll,strolled,strolled
PAST,stroll,strolled,strolled
PAST,screw,screwed,screwed
PAST,scatter,scattered,scattered
PAST,dump,dumped,dumped
PAST,stay,stayed,stayed
PAST,scare,scared,scared
PAST,close,closed,closed
PAST,call,called,called
PAST,call,called,called
PAST,call,called,called
PAST,call,called,called
PAST,call,called,called
PAST,happen,happened,happened
PAST,happen,happened,happened
PAST,scare,scared,scared
PAST,scare,scared,scared
PAST,swallow,swallowed,swallowed
PAST,swallow,swallowed,swallowed
PAST,swallow,swallowed,swallowed
PAST,swallow,swallowed,swallowed
PAST,turn,turned,turned
PAST,call,called,called
PAST,swallow,swallowed,swallowed
PAST,swallow,swallowed,swallowed
PAST,swallow,swallowed,swallowed
PAST,crawl,crawled,crawled
PAST,poop,pooped,pooped
PAST,poop,pooped,pooped
PAST,poop,pooped,pooped
PAST,poop,pooped,pooped
PAST,call,called,called
PAST,call,called,called
PAST,call,called,called
PAST,call,called,called
PAST,start,started,started
PAST,call,called,called
