PAST,walk,walked,walked
PAST,use,used,used
PAST,stop,stopped,stopped
PAST,fill,filled,filled
PAST,stop,stopped,stopped
PAST,stop,stopped,stopped
PAST,stop,stopped,stopped
PAST,stop,stopped,stopped
PAST,stop,stopped,stopped
PAST,stop,stopped,stopped
PAST,use,used,used
PAST,use,used,used
PAST,use,used,used
PAST,use,used,used
PAST,use,used,used
PAST,use,used,used
PAST,allow,allowed,allowed
PAST,stop,stopped,stopped
PAST,slip,slipped,slipped
PAST,want,wanted,wanted
PAST,touch,touched,touched
PAST,want,wanted,wanted
PAST,touch,touched,touched
PAST,touch,touched,touched
PAST,allow,allowed,allowed
PAST,melt,melted,melted
PAST,melt,melted,melted
PAST,knock,knocked,knocked
PAST,happen,happened,happened
PAST,happen,happened,happened
PAST,happen,happened,happened
PAST,happen,happened,happened
PAST,happen,happened,happened
PAST,happen,happened,happened
PAST,happen,happened,happened
PAST,happen,happened,happened
PAST,weight,weighted,weighted
PAST,weight,weighted,weighted
PAST,weight,weighted,weighted
PAST,knock,knocked,knocked
PAST,happen,happened,happened
