PAST,fold,folded,folded
PAST,drop,dropped,dropped
PAST,stop,stopped,stopped
PAST,move,moved,moved
PAST,finish,finished,finished
PAST,finish,finished,finished
PAST,call,called,called
PAST,call,called,called
PAST,call,called,called
PAST,up,upped,upped
PAST,jump,jumped,jumped
PAST,happen,happened,happened
PAST,finish,finished,finished
PAST,finish,finished,finished
PAST,pop,popped,popped
PAST,pop,popped,popped
PAST,pop,popped,popped
PAST,plop,plopped,plopped
PAST,pop,popped,popped
PAST,pop,popped,popped
PAST,pop,popped,popped
PAST,pop,popped,popped
PAST,pop,popped,popped
PAST,pop,popped,popped
PAST,pop,popped,popped
PAST,finish,finished,finished
PAST,turn,turned,turned
PAST,stop,stopped,stopped
PAST,clean,cleaned,cleaned
PAST,clean,cleaned,cleaned
PAST,clean,cleaned,cleaned
PAST,clean,cleaned,cleaned
PAST,lock,locked,locked
