PAST,turn,turned,turned
PAST,live,lived,lived
PAST,live,lived,lived
PAST,call,called,called
PAST,name,named,named
PAST,disappear,disappeared,disappeared
PAST,disappear,disappeared,disappeared
PAST,disappear,disappeared,disappeared
PAST,disappear,disappeared,disappeared
PAST,disappear,disappeared,disappeared
PAST,disappear,disappeared,disappeared
PAST,disappear,disappeared,disappeared
PAST,pull,pulled,pulled
PAST,disappear,disappeared,disappeared
PAST,disappear,disappeared,disappeared
PAST,disappear,disappeared,disappeared
PAST,disappear,disappeared,disappeared
PAST,disappear,disappeared,disappeared
PAST,name,named,named
PAST,name,named,named
PAST,water,watered,watered
PAST,want,wanted,wanted
