PAST,miss,missed,missed
PAST,kill,killed,killed
PAST,finish,finished,finished
PAST,finish,finished,finished
PAST,finish,finished,finished
PAST,finish,finished,finished
PAST,finish,finished,finished
PAST,finish,finished,finished
PAST,finish,finished,finished
PAST,finish,finished,finished
PAST,finish,finished,finished
PAST,finish,finished,finished
PAST,fix,fixed,fixed
PAST,scream,screamed,screamed
PAST,use,used,used
PAST,scare,scared,scared
PAST,scare,scared,scared
PAST,scare,scared,scared
